filename,wave_size,text
sample-chap2-26.wav,1905164,unake paas na roopaye the aur na ek nae parivaar ka bhaar uthaane kee himmat par jaageshvaree ne triyahath se kaam liya aur is shakti ke saamane puroosh ko jhukana pada
sample-chap6-49.wav,1735820,vah kaee baar pati aur saas se saashchary poochh chukee thee kya yahaan koee naukar nahin hai jaalapa ke ghar doodhdaheeghee kee kamee nahin thee
sample-chap8-86.wav,359900,hato to zara main bistar khol doon
sample-chap9-0.wav,1411244,rama ke parichiton mein ek ramesh baaboo myoonisipal bord mein hed klark the
sample-chap4-3.wav,1368908,naatak kee pareeksha chaarpaanch ghante tak hotee rahatee hai baraat kee pareeksha ke lie keval itane hee minaton ka samay hota hai
sample-chap4-72.wav,1453580,jo roopviheen hon ve apane ko gahane se sajaen mujhe to eeshvar ne yon hee sundaree banaaya hai main gahane na pahanakar bhee buree na lagoongee
sample-chap10-2.wav,1051388,paanee aaya hee chaahata tha par rama ko ghar pahunchane kee itanee bechainee ho rahee thee ki usase rooka na gaya
sample-chap10-25.wav,1164284,rama ne hansakar kaha nahin priye vah jagah aisee nahin ki gareebon ka gala kaatana pade
sample-chap10-67.wav,663308,ramaanaath is ichchha ka koee kaaran bhee to hoga
sample-chap10-31.wav,426932,ramaanaath vah to karoonga hee
sample-chap2-65.wav,737396,jab dayaanaath paraast ho jaate the to akhabaar padhane lagate the
sample-chap4-88.wav,1203092,shahajaadee ek chandrahaar ke na hone se kya hota hai bahan usakee jagah gulooband to hai
sample-chap5-40.wav,515132,roomaal mein bele ke gajare liye hue tha
sample-chap9-83.wav,225836,abhee to nau baje hain
sample-chap11-48.wav,1531196,khaan saahab ko vida karake rama apanee kursee par aa baitha aur ek chaparaasee se bola in logon se kaho baraamade ke neeche chale jaen
sample-chap9-111.wav,853820,rama yon hee aath baje se pahale na uthata tha phir aaj to teen baje soya tha
sample-chap9-72.wav,536300,yahee roteedaal gheedoodh to vah bhee khaate hain
sample-chap1-46.wav,698588,usake teen varsh ke andar teenon ladake jaate rahe
