filename,wave_size,text
sample-chap32-0.wav,640376,dillee laut kar priya ne sabase pahale maan nirmala se phon par baat kee mammee veena deedee ne mujhase vaayada kiya hai ki vah is varsh disambar mein jarur aaengee aapase milane
sample-chap32-1.wav,261116,aur koee nahin bhee aae chaahe dekh lena veena deedee jarur aaengee
sample-chap32-2.wav,88244,priya bahut utsaahit thee
sample-chap32-3.wav,305216,maan ne sunee usakee baat aur bolee chal betee too kahatee hai to maan letee hoon
sample-chap32-4.wav,243476,vaise to har baar jab bhee usase baat hotee hai vah yahee kahatee hai
sample-chap32-5.wav,243476,nirmala samajhatee thee ki veena apane man kee asalee baat to kisee se kahatee nahee hai
sample-chap32-6.wav,298160,priya ko yah kaha hai to vaastav mein vah aaegee yah to samay hee bataega
sample-chap32-7.wav,201140,yadi na kahatee to priya use baarabaar kahakar jidad karatee
sample-chap32-8.wav,278756,baat ko kamasekam karane ka sabase saral upaay hai saamane vaale kee haanmenhaan mila dena
sample-chap32-9.wav,303452,tum apanee kaho priya kaisa raha tumhaara trip nirmala ne aage baat badhaee
sample-chap32-10.wav,319328,bahut achchha bahut hee achchha deedee ke paas rahane ke baad aur bhee maje aae
sample-chap32-11.wav,315800,veena deedee jahaan rahatee hai vahaan to kuchh bhee nahee tha bas praakratik sundarata ke atirikt
sample-chap32-12.wav,255824,aur amerika to bas kuchh na poochho hamaare lie to svarg samaan tha
sample-chap32-13.wav,213488,laas ainjalas sanaphraansisko aur phir dijanee valdr
sample-chap32-14.wav,372248,dijaneelaind mein rahe ham saat din aur vah saat din to bachcho ke saathasaath hamaare lie yaadagaar din hai
sample-chap32-15.wav,379304,laasavigaas jaisa shahar to dekh kar man ko laga ham jaise ek aisee duniyaan mein rahate hai jahaan koee kaam nahee karata
sample-chap32-16.wav,139400,jahaan sirph aanand lootate hai log
sample-chap32-17.wav,289340,priya ke shabdo se hee maan nirmala ko andaaj ho gaya tha ki priya bahut khush hai
sample-chap32-18.wav,185264,betee khush to maan kee khushee mein chaar chaand lag jaate hai
sample-chap32-19.wav,229364,aise mein vah bolee chalo betee sab aaraam se sunege tumhaaree baaten
sample-chap32-20.wav,172916,abhee to kuchh din aur hai bachchon ke skool khulane mein
sample-chap32-21.wav,172916,tum deharaadoon aane ka jaldee se prograam bana lo
sample-chap32-22.wav,40616,haan mammee
sample-chap32-23.wav,54728,jarur aaenge
sample-chap32-24.wav,243476,teenachaar din jara apanee thakaavat utaar len phir aa jaenge dodin ke lie
sample-chap32-25.wav,192320,abhee to skool khulane mein poore pandrah din baaki hai
sample-chap32-26.wav,160568,priya bhee maan se milane ko betaab thee
sample-chap32-27.wav,105884,achchha maan daidee se to baat karao
sample-chap32-28.wav,81188,priya ne kaha maan nirmala se
sample-chap32-29.wav,160568,thaharo betee aavaaj lagaatee hoon
sample-chap32-30.wav,259352,aajakal to kuchh sunate nahee aur sunate hai to man mein aae to javaab de dete hai
sample-chap32-31.wav,111176,man mein aae to chup hee rahate hai
sample-chap32-32.wav,62664,nirmala ne kaha
sample-chap32-33.wav,346672,tab priya ne kaha aisa ho jaata hai maan is umr mein aap unase baat kiya karo
sample-chap32-34.wav,352844,are betee aur kaun hai mere paas tumhaare daidee ke siva par mai bhee to saara din kaam mein jutee rahatee hoon
sample-chap32-35.wav,204668,aur phir chalo chhodo le aa gae tumhaare daidee lo kar lo baat
sample-chap32-36.wav,181736,nirmala ne phon shaayad pannaalaal ko de diya tha
