filename,wave_size,text
sample-chap1-0.wav,1001996,gaban barasaat ke din haiain saavan ka maheena
sample-chap1-1.wav,592748,aakaash mein sunaharee ghataen chhaee huee hain
sample-chap1-2.wav,571580,rahrahakar rimajhim varsha hone lagatee hai
sample-chap1-3.wav,924380,abhee teesara pahar hai par aisa maaloom hon raha hai shaam ho gayee
sample-chap1-4.wav,656252,aamon ke baag mein jhoola pada hua hai
sample-chap1-5.wav,670364,ladakiyaan bhee jhool raheen hain aur unakee maataen bhee
sample-chap1-6.wav,620972,dochaar jhool raheen hain do chaar jhula rahee hain
sample-chap1-7.wav,726812,koee kajalee gaane lagatee hai koee baarahamaasa
sample-chap1-8.wav,804428,is rtu mein mahilaon kee baalsmrtiyaan bhee jaag uthatee hain
sample-chap1-9.wav,740924,ye phuhaaren maano chintaon ko hraday se dho daalatee hain
sample-chap1-10.wav,705644,maano murajhae hue man ko bhee hara kar detee hain
sample-chap1-11.wav,458684,sabake dil umangon se bhare hue hain
sample-chap1-12.wav,712700,ghaanee saadiyon ne prakrti kee hariyaalee se naata joda hai
sample-chap1-13.wav,733868,isee samay ek bisaatee aakar jhoole ke paas khada ho gaya
sample-chap1-14.wav,465740,use dekhate hee jhoola band ho gaya
sample-chap1-15.wav,585692,chhoteebadee sabon ne aakar use gher liya
sample-chap1-16.wav,987884,bisaatee ne apana sandook khola aur chamakateedamakatee cheejen nikaalakar dikhaane laga
sample-chap1-17.wav,1728764,kachche motiyon ke gahane the kachche lais aur gote rangeen moje khoobasoorat gudiyaan aur gudiyon ke gahane bachchon ke lattoo aur jhunajhune
sample-chap1-18.wav,620972,kisee ne koee cheej lee kisee ne koee cheej
sample-chap1-19.wav,1453580,ek badeebadee aankhon vaalee baalika ne vah cheej pasand kee jo un chamakatee huee cheejon mein sabase sundar thee
sample-chap1-20.wav,522188,vah girojee rang ka ek chandrahaar tha
sample-chap1-21.wav,698588,maan se bolee amma main yah haar loongee
sample-chap1-22.wav,2123900,maan ne bisaatee se poochha baaba yah haar kitane ka hai bisaatee ne haar ko roomaal se ponchhate hue kaha khareed to bees aane kee hai maalakin jo chaahen de den
sample-chap1-23.wav,402236,maata ne kahayah to bada mahanga hai
sample-chap1-24.wav,501020,chaar din mein isakee chamakdamak jaatee rahegee
sample-chap1-25.wav,1326572,bisaatee ne maarmik bhaav se sir hilaakar kaha bahoojee chaar din mein to bitiyaan ko asalee chandrahaar mil jaega
sample-chap1-26.wav,635084,maata ke hraday par in sahradayata se bhare hue shabdon ne chot kee
sample-chap1-27.wav,359900,haar le liya gaya
sample-chap1-28.wav,409292,baalika ke aanand kee seema na thee
sample-chap1-29.wav,543356,shaayad heeron ke haar se bhee use itana aanand na hota
sample-chap1-30.wav,550412,use pahanakar vah saare gaanv mein naachatee giree
sample-chap1-31.wav,1270124,usake paas jo baalsampatti thee usamen sabase moolyavaan sabase priy yahee billaur ka haar tha
sample-chap1-32.wav,755036,ladakee ka naam jaalapa tha maata ka maanakee
sample-chap1-33.wav,691532,mahaashay deenadayaal prayaag ke chhotese gaanv mein rahate the
sample-chap1-34.wav,493964,vah kisaan na the par khetee karate the
sample-chap1-35.wav,564524,vah jameendaar na the par jameendaaree karate the
sample-chap1-36.wav,437516,thaanedaar na the par thaanedaaree karate the
sample-chap1-37.wav,493964,vah the jameendaar ke mukhtaar
sample-chap1-38.wav,465740,gaanv par unheen kee dhaak thee
sample-chap1-39.wav,1001996,unake paas chaar chaparaasee the ek ghoda kaee gaenbhainsen
sample-chap1-40.wav,1009052,vetan kul paanch roopaye paate the jo unake tambaakoo ke kharch ko bhee kaaphee na hota tha
sample-chap1-41.wav,733868,unakee aay ke aur kaun se maarg the yah kaun jaanata hai
sample-chap1-42.wav,324620,jaalapa unheen kee ladakee thee
sample-chap1-43.wav,839708,pahale usake teen bhaee aur the par is samay vah akelee thee
sample-chap1-44.wav,1446524,usase koee poochhata tere bhaee kya hue to vah badee saralata se kahatee badee door khelane gae hain
sample-chap1-45.wav,1086668,kahate hain mukhtaar saahab ne ek gareeb aadamee ko itana pitavaaya tha ki vah mar gaya tha
sample-chap1-46.wav,698588,usake teen varsh ke andar teenon ladake jaate rahe
sample-chap1-47.wav,543356,tab se bechaare bahut sambhalakar chalate the
sample-chap1-48.wav,1072556,phoonkphoonkakar paanv rakhate doodh ke jale the chhaachh bhee phoonkphoonkakar peete the
sample-chap1-49.wav,1510028,maata aur pita ke jeevan mein aur kya avalamb deenadayaal jab kabhee prayaag jaate to jaalapa ke lie koee na koee aabhooshan jaroor laate
sample-chap1-50.wav,1277180,unakee vyaavahaarik buddhi mein yah vichaar hee na aata tha ki jaalapa kisee aur cheej se adhik prasann ho sakatee hai
sample-chap1-51.wav,1093724,gudiyaan aur khilaune vah vyarth samajhate the isalie jaalapa aabhooshanon se hee khelatee thee
sample-chap1-52.wav,197612,yahee usake khilaune the
sample-chap1-53.wav,1234844,vah billaur ka haar jo usane bisaatee se liya tha ab usaka sabase pyaara khilauna tha
sample-chap1-54.wav,698588,asalee haar kee abhilaasha abhee usake man mein uday hee nahin huee thee
sample-chap1-55.wav,896156,gaanv mein koee utsav hota ya koee tyohaar padata to vah usee haar ko pahanatee
sample-chap1-56.wav,656252,koee doosara gahana usakee aankhon mein janchata hee na tha
