filename,wave_size,text
sample-chap5-36.wav,444572,tum usase ek baar kaho to
sample-chap9-6.wav,705644,us ekaant jeevan mein siva vinod ke aur kya avalamb tha
sample-chap9-100.wav,846764,ramesh to munh dho daalo barag rakhee huee hai
sample-chap10-45.wav,1531196,rama ne use nikaalakar dekha aur hansakar bola eeshvar ne tumhaaree sun lee cheej to bahut achchhee maaloom hotee hai
sample-chap1-66.wav,472796,maan vah to bahut roopayon mein banega betee
sample-chap1-36.wav,437516,thaanedaar na the par thaanedaaree karate the
sample-chap3-12.wav,747980,bandha hua ghodaathaan se khul gaya use kaun rok sakata hai
sample-chap10-35.wav,927908,ramaanaath haan jaata hoon magar unase to main bees hee batalaoonga
sample-chap11-37.wav,543356,use chhodate hue kyon na duhkh hota
sample-chap9-120.wav,1718180,rama phir let gaya aur ramesh ne bhojan kiya kapade pahane aur daphtar chalane ko taiyaar hue
sample-chap5-26.wav,2871836,dayaanaath ne chidhakar kaha tum to jale par namak chhidakatee ho bura maaloom hota hai to lao ek hajaar nikaalakar de do mahaajan ko de aaoon detee ho bura mujhe khud maaloom hota hai lekin upaay kya hai gala kaise chhootega
sample-chap2-61.wav,497492,apanee baat yaad karo
sample-chap5-58.wav,1213676,jaageshvaree ne apane paksh ka samarthan hote dekh khush hokar kaha yahee to main inase kah rahee hoon
sample-chap4-104.wav,2406140,jaalapa ka bhagn hraday shahajaadee kee in baaton se maano jee utha vah roondhe kanth se bolee yahee to main bhee sochatee hoon bahan jab aaj na mila to phir kya milega
sample-chap6-25.wav,458684,dayaanaath ne poochha kaise
sample-chap6-141.wav,44,usane socha main kitana bada kaayar hoon
sample-chap11-99.wav,860876,choree ka shabd zabaan par laate hue rama ka hraday dhadak utha
sample-chap6-125.wav,599804,ek baar ghar kee yaad aa gaee rone lagee
sample-chap9-93.wav,289340,tab nishchint hokar baithen
sample-chap4-55.wav,839708,aur sab gahanon ke naam kaan mein aate the chandrahaar ka naam na aata tha
sample-chap10-7.wav,874988,agar pachaassaath roopaye maheene bhee bach jaayan to paanch saal mein jaalapa gahanon se lad jaegee
sample-chap2-59.wav,642140,saalbhar bhee na beetane paaya tha ki naukar ho gae
sample-chap8-102.wav,1453580,stree ka saprem aagrah puroosh se kya nahin kara sakata
sample-chap1-54.wav,698588,asalee haar kee abhilaasha abhee usake man mein uday hee nahin huee thee
sample-chap6-26.wav,673892,ramaanaath usee tarah jaise aapake aur bhaee karate hain
sample-chap11-45.wav,892628,jo bade baaboo pahale the vah pachees roopaye maheena lete the magar yah kuchh nahin lete
sample-chap11-31.wav,218780,chaarj de diya
