wav_filename,wav_filesize,transcript
sample-chap2-17.wav,581284,risepshan kauntar ke paas ruk kar usane prem se ekaek poochh liya  prem yahaan ka bil kya tumane ada kar diya hai ya ki subah tum aaoge
sample-chap27-211.wav,276992,toophaan jo main kya kahoon vaaky se khada hua tha ekaek tham gaya
sample-chap6-25.wav,111176,mujhe modalataun hee jaana hai
sample-chap16-98.wav,66708,raidiyotharaipee se hamaaree koshish rahatee hai ki opareshan ke baad yadi kaheen koee kainsar ka keetaanu rah jae to aasapaas ke hisse ko isakee madad se ham aage aane vaale khatare ko rok sakate hain
sample-chap9-189.wav,208196,haan ghutane tek kar usake saamane baith gaya
sample-chap12-7.wav,541592,vah apane maataapita sab se kah baithee to na jaane kya hoga usase door rahegee to kaheen usake prati usaka moh kam na ho jae
sample-chap16-66.wav,10910,sab kaagaz isee mein lage hain
sample-chap16-44.wav,54796,ve jab bhee pata chalata jahaan bhee rogee hota pahunch jaate aur is rog se sambandhit sabhee jaanakaaree mareez va usake parivaar vaalon ko de dete the
sample-chap13-168.wav,67962,tumhaare vivaahit jeevan mein tumhen khush dekhakar mujhe sadaiv is baat ka santosh rahata hai ki mainne kuchh achchhe karm hee kie the ki aaj mere bachche apaneapane parivaar ke saath khush hain
sample-chap9-165.wav,449864,usee pravaah mein vah bola  main tumhaara gunaahagaar hoon veena jo chaahatee ho jaisa chaahatee ho vahee hoga aaj se
sample-chap15-0.wav,32226,maan nirmala kee neend baahar rasoeeghar mein jalee battee dekhakar khul gaee
sample-chap16-197.wav,21150,lekin vah svayan ko vichaaron ke bhanvar mein phansa pa rahee thee
sample-chap15-207.wav,17598,veena uth kar baith gaee maan kee baat sunakar
sample-chap20-117.wav,14881,hamaara unheen ke paas jaana hee uchit rahega
sample-chap19-143.wav,10075,aise to aane kee jaroorat nahin
sample-chap24-81.wav,187028,duhkh me sukh mein jeene mein marane mein
sample-chap8-125.wav,160568,ve to in baaton mein dakhal nahin dete
sample-chap30-206.wav,192320,isake ilaava shaniravi ko to jarur jaana hai
sample-chap8-1.wav,142044,sab kuchh usake lie badalaasa lag raha tha
sample-chap23-8.wav,176444,mai bhee baitha tha veena bhaabhee aur mammee ke paas
sample-chap14-31.wav,14463,amit ko aashchary ho raha tha
sample-chap29-8.wav,145576,ab ve din nahin aa sakate
sample-chap16-59.wav,15926,garg saahab kee umr painsath ke lagabhag thee
sample-chap26-244.wav,128816,veena ne sahaj bhaav se utar diya
sample-chap26-227.wav,196728,donon haath thaamen usake bolee tum kab aae
sample-chap22-173.wav,284048,jab tum ghar mein hote ho to adhik se adhik samay unheen ke kamare mein bitaaya karo
sample-chap18-241.wav,24076,bole ja rahe the pahale jo hua dekhe bina jaldee mein kar diya
sample-chap29-149.wav,338732,itanee adhik kaamachoree hai tabhee to meree maan ke jeete jee usaka kort ka phaasala nahee ho saka
sample-chap17-208.wav,9657,vah bhaavuk ho chalee thee
sample-chap29-14.wav,276992,duhkh tha usaka lekin aasha thee saath jeene kee umang thee
sample-chap16-74.wav,28883,ab vahee baat doktar kumaar ke munh se sunakar vah ekaek bechain ho utha tha
sample-chap25-73.wav,128816,unhonne apanee raay spasht kar dee
sample-chap18-222.wav,14254,nirmala ne padha veena ka patr
sample-chap11-170.wav,111176,kisee ke hrday ka kanakan
sample-chap14-28.wav,25957,ekaek kah uthee tum bhee aisa hee samajhate ho ki mujhe pata tha
sample-chap2-152.wav,139400,shareer se bhaaree tha arun
sample-chap28-32.wav,100592,shesh sab kuchh theek laga
sample-chap11-106.wav,289340,veena ko bhee amit ke manobhaavon kee khabar laganee shuroo ho gaee thee
sample-chap14-155.wav,8821,ve yoon hee chup baithe the
sample-chap18-45.wav,10910,main theek hoon bilkul
sample-chap13-118.wav,14254,kuchh aur na bol paee bas muskura kar rah gaee
sample-chap2-55.wav,191440,usakee baat sunakar veena kee palaken bheeg aaee theen
sample-chap24-8.wav,296396,tumhaaree mammee se suneeta deedee se aur aur apane bade bhaiya se
sample-chap26-45.wav,188792,veena sach to yahee hai ki yahee vaastavikata hai
sample-chap29-172.wav,141164,isase aage jitane munh utanee baaten
sample-chap29-259.wav,128816,chinta na karo saphar yoon hee kat jaeg
sample-chap29-90.wav,188792,achchha hee kiya jo arun ne use vahaan laakar nahee rakha
sample-chap11-85.wav,286696,vah veena se haradam baat karane ko tatpar rahata tha
sample-chap5-13.wav,314036,paisa to haath ka mail hai kismat bhee achchhee hai phir kharch karane kee paravaah kise
sample-chap24-45.wav,855584,maine jabase mahasoos kiya tha ki dev ab nahee bachega tabhee se soch tha ki bhaabhee ko jab bhee usaka man theek ho jaega main svayan utsaahit karunga svayan koshish karunga unake lie koee behatar var dhoondhane ke lie
sample-chap21-102.wav,174680,man duhkhee to sab badalaasa lagane lagata hai
sample-chap6-131.wav,441044,shaam kee chaay ke dauraan usee ne kaha tha  aantee aap bor ho rahee hain man hai to chalie aapako baajaar tak ghuma laoon
sample-chap28-3.wav,121760,naukaree kee talaash kar raha hoon
sample-chap19-84.wav,17598,udhar dev ko mana liya veena ne rediyotharaipee ke lie
sample-chap4-132.wav,123524,mujhe padhane kee jaroorat nahin
sample-chap22-235.wav,199376,baaba ne kaha hai vah aa rahe hain tumase milane
sample-chap13-165.wav,25957,main haradam eeshvar se tumhaaree va dev jee kee mangalakaamana karatee rahatee hoon
sample-chap3-84.wav,67956,ramesh chhuttee par aaya
sample-chap17-181.wav,10910,bas adhik kuchh nahin
sample-chap30-80.wav,388124,mujhe maan ka vahee rup dikhata hai us mantr mein jab vah ham sab bhaeebahanon ko akele paalatee thee
sample-chap16-188.wav,30555,aaj beemaaree kee chinta use isalie hai ki usake phalasvaroop vah veena se bichhud sakata hai
sample-chap15-226.wav,21986,vah jaise yah jeevan apane dev ke lie hee jeena chaahatee hai
sample-chap19-203.wav,21359,pramod ko aaya dekhakar vah seedha dev ke kamare mein chala aaya
sample-chap20-172.wav,14672,tab dev ne sabako uthane ka ishaara kiya
sample-chap18-43.wav,12373,kuchh bolate nahin ban raha tha usase
sample-chap18-132.wav,21359,ab aap mujh par dore na daalie ek bahut hai
sample-chap26-46.wav,218780,bina purush ke naaree aur bina naaree ke purush adhoora hai
sample-chap21-157.wav,160568,kuchh shesh dikhaee dena band ho gaya tha
sample-chap2-176.wav,90008,bahutabahut mubaarak
sample-chap20-51.wav,13418,dev ne usakee baat ka uttar diya
sample-chap2-51.wav,149104,lekin vah bolee nahin kuchh bhee
sample-chap4-188.wav,217896,suneeta ke saath usake sambandh sakhiyon jaise the
sample-chap10-158.wav,382832,veena bhee apana haath badha rahee thee aur palabhar mein hee haathon ka sparsh donon ne mahasoos kiya
sample-chap22-107.wav,172916,baaba jee kee baat dviarthee lagee amit ko
sample-chap15-112.wav,28047,ghar ka har sadasy kisee na kisee bhaav kisee na kisee karm ka prateek hota hai
sample-chap13-26.wav,27629,veena ke haathon ka sparsh paakar vah ekaek bachche kee bhaanti phaphakane laga
sample-chap15-105.wav,18852,aise mein janm se nahin nirdhaarit hota varn
sample-chap10-176.wav,197612,dev ke man ko veena ke man kee pahachaan karanee thee
sample-chap4-201.wav,366956,aur aise mein khaane ke samay bhee misez thaapa ghar ke sadasyon ke beech ek sadasy see banee viraajamaan theen
sample-chap25-136.wav,225836,sotesote need khulatee to priya ko yaad karane lagata
sample-chap9-26.wav,158804,veena ko dekh kar vah mohit ho gaya
sample-chap26-283.wav,315800,aap jaisa koee virala hoga jo apana daayitv itanee bakhoobee se nibha sakega
sample-chap26-193.wav,109412,mammee se poochha poochha priya ne
sample-chap26-326.wav,164096,kabheekabhee hans detee thee apanee kalpana mein
sample-chap27-38.wav,236420,kaam bhee achchha hai aur jo duhkh hai usase hamatum sabhee vaakiph hain
sample-chap18-113.wav,14672,amit sakapaka gaya ekaek
sample-chap11-17.wav,391652,usake bachchon ko koee duhkh hai to usako lagata tha saaree duniya mein duhkhon ka pahaad toot pada hai
sample-chap27-346.wav,463976,amit pan aate hee kamara band karake priya ke saath unakee chhantanee karata aur ekek karake javaab bhej deta
sample-chap4-219.wav,395180,aakhir saahas karake usane veena se kaha  aap ko kuchh poochhana ho mere vishay mein to bejhijhak poochh leejie
sample-chap22-197.wav,169388,dev kee dasha to aur adhik bigad chukee thee
sample-chap13-44.wav,15717,ab dard kaisa hai  uthate hee veena ne dev se poochha
sample-chap22-62.wav,257588,vahaan baithe sabhee log baaba jee ke chamatkaaron kee hee baaten kar rahe the
sample-chap18-28.wav,9866,ghar mehamaanon se bhara hai
sample-chap3-121.wav,395180,dekh leejie aapane meree kaaya hee palat dee hai  dev ne muskuraate hue doktar gupta se haath milaaya
sample-chap5-167.wav,206432,ghar mein ek tadakabhadak ka utsav manaana chaahatee thee
sample-chap23-168.wav,58256,sirph tumhaaree
sample-chap13-80.wav,25330,do minat baad hee vah aakar bolee  aap bheetar ja sakate hain
sample-chap17-39.wav,13000,aaj usake kasht kee saathee veena thee
sample-chap20-233.wav,18852,doktar maalatee use chup karaane lagee thee
sample-chap27-99.wav,100592,aur koee dhoomadhadaaka nahin
sample-chap3-162.wav,535420,aur svayan saamane pade kaagaj ko dekhane mein talleen ho gae
sample-chap17-26.wav,32017,yahee bhaav unhonne veena ke sammukh prakat kie betee vyarth chinta mat karo
sample-chap26-154.wav,174680,haan main jaanatee thee tum yahee kahoge
sample-chap26-286.wav,171152,aaj baat hai ek poore parivaar kee aur usase upar maan kee
sample-chap23-16.wav,231128,baaba itane nishchay se kah rahe hai to koee kaaran hoga hee
