wav_filename,wav_filesize,transcript
sample-chap24-93.wav,178208,kisee kee hamadardee usaka ghaav nahee bhar sakatee
sample-chap6-91.wav,286696,abhee krshna kuchh kahatee ki dev bol utha koee reetirivaaj nahin hain
sample-chap25-9.wav,95300,dev yaad sabhee ko aata tha
sample-chap22-178.wav,183500,amit main samajhatee hoon tumhaaree pareshaanee ko
sample-chap19-91.wav,24285,iseelie test ke teenamaheene baad bhee dev ko usee garmajoshee se mila
sample-chap30-174.wav,234656,lekin is beech yahee phaisala kar liya ki naukaree nahin karunga kabhee
sample-chap11-48.wav,471032,in kitaabon ke sahaare hee vah jaan paaya aur sada koshish bhee karata tha ki veena ko vah apane sparsh se kuchh raahat de sake
sample-chap20-3.wav,24703,usake door ke rishte kee mausee ka ek ladaka andheree mein kaheen rahata hai
sample-chap15-61.wav,35570,aise mein mujhe neend kaise aatee  maan ne apanee pareshaanee veena se kahee  ab dard kaisa hai
sample-chap6-115.wav,176444,bahan jee ne poochha mainne kaha
sample-chap28-31.wav,215252,ladake ka daanya haath ekseedent mein tedha ho gaya tha
sample-chap28-86.wav,292868,amit ko samajh aa gaya tha ki duniyaan mein sach par parda daalane vaalon kee kamee nahin hai
sample-chap8-26.wav,180856,use amit ka svabhaav bahut achchha laga tha
sample-chap13-106.wav,10493,chalo yah to achchhee baat hai
sample-chap7-10.wav,407528,aisee kaee auraten bhee hotee hain jo har achchheeburee baat ko sirph bigaadane kee drshti se dekhatee hain
sample-chap2-133.wav,183500,jeevan mein usake naee bahaaren aa gaeen
sample-chap12-18.wav,404880,baatabaat mein ghumaaphira kar veena ko apanee bhaavanaon kee dhaara mein baha kar le jaata
sample-chap7-153.wav,322856,ghabara gaya aur hathiyaar daalate hue bola  are nahin baaba aisa nahin karana
sample-chap19-108.wav,12373,veena ne man kee baat kahee dev se
sample-chap23-33.wav,306980,taareekh subah dev ne raharah kar ek jidd shuru kar dee
sample-chap29-323.wav,149984,veena ekaek kuchh na bol paee
sample-chap9-163.wav,118232,byaahata hai vah usakee
sample-chap7-46.wav,47672,hailo
sample-chap11-141.wav,529244,lekin yah silasila jab har patr mein chalane laga to usake man ne bhee amit kee kalpana se sukhad anubhooti ka anubhav karana shuroo kar diya
sample-chap27-304.wav,181736,vah kisake sahaare jee rahee hai abhee to sab hai
sample-chap30-237.wav,96180,sapanon mein rahata hai
sample-chap20-161.wav,11746,oopar vaala sabakee madad karata hai
sample-chap15-24.wav,16553,vah aundhe munh palang par leta hua tha
sample-chap3-17.wav,238184,achchha hai lekin mujhe to vah dubalaapatala lagata hai tumhaara ummeedavaar
sample-chap8-150.wav,462212,dev tab tak vichaaramagn hokar soch raha tha ki kya kuchh veena ko batae aur kya kuchh nahin batae
sample-chap29-218.wav,181736,are apane hai tabhee to bin bulae aa rahe hain
sample-chap27-253.wav,432224,deharaadoon gae to maan nirmala ne baaton hee baaton mein kah diya amit se beta veena ke lie kuchh socho
sample-chap27-233.wav,220544,deharaadoon se dillee kee dooree jaise khatm ho gaee thee amit ke lie
sample-chap18-163.wav,17389,geeta ko priya ke lie amit man se bha gaya tha
sample-chap22-59.wav,201140,sab baat sunakar dev ka chehara chamakane laga tha
sample-chap10-153.wav,271700,dev ke sansarg ke sukh se oopar use kuchh nahin lag raha tha
sample-chap9-60.wav,203788,dev ka milana usake bhaagy mein tha
sample-chap15-125.wav,20106,use usake bheetar ek gaharee chuppee chhaee dikh rahee thee
sample-chap30-120.wav,167624,man mein magar aap hee kee sochate rahate hai
sample-chap8-165.wav,683592,jisakee sahaayata se main subah savere pamp karake saaree saphaee kar leta hoon tatpashchaat chaibees ghante tak mujhe koee pareshaanee nahin hotee ise krtrim maladvaar ya kahate hain
sample-chap5-19.wav,171152,vah bhee laikcharaar tha yoonivarsitee mein
sample-chap18-104.wav,77784,vaayada to main karungee nahin kyonki main koee baat kisee se chhipaatee nahin priya to muskura rahee thee aapane mere janmadin par badhaee sandesh bheja tha maine to sab ko padhaaya aur haan jaise use yaad aaya usaka shukriya
sample-chap16-170.wav,26166,yah laaparavaahee hai ya paise kee ya naam kamaane kee lalak ab kya sochana
sample-chap19-104.wav,24494,vah mana nahin karata lekin hamen to sochana chaahie
sample-chap17-3.wav,36197,ho sakata hai jo hai jahaan hai vaheen ruka rahe aur kaee varshon tak kuchh na ho
sample-chap7-34.wav,135872,dev ke man ko tatol raha tha
sample-chap13-90.wav,39750,tab doktar gupta ne veena ka abhivaadan kiya  aap kaisee hain veena jee dev ke saath kaisa lag raha hai aapako
sample-chap9-10.wav,243476,hotee ja rahee thee usaka rishta svayan chalakar aa raha tha
